element_start,herostory_flg_1_death,ActorDataClass
m_Tags,no_dd_weak,
m_Size,2,
m_IsTickTriggerValid,True,
m_IsStallInvalidating,True,
element_end
element_start,herostory_flg_1_death,ActorDataStats
key_map,health_max,speed,deaths_door_chance,speed_number_of_turns,
add_stats,75,4,1,2,
sub_stat,resistance,stun,1,
sub_stat,resistance,blight,1,
sub_stat,resistance,bleed,1,
sub_stat,resistance,burn,1,
sub_stat,resistance,disease,0.1,
sub_stat,resistance,move,1,
sub_stat,resistance,debuff,0.1,
sub_stat,resistance,death,0,
element_end
element_start,herostory_flg_1_death,ActorDataEffects
spawn_effects,herostory_flg_death_bark_health_50pct_manager_e,herostory_flg_death_bark_health_25pct_manager_e,flg_1_death_death_armor_buff_e,
deaths_door_survive_effects,
actor_effect_triggers,herostory_flg1_death_finisher_turn,
element_end
element_start,herostory_flg_1_death,ActorDataExternalBuffs
buffs,
element_end
element_start,flg_1_death_shadow_of_death,ActorDataSkill
m_IsFriendly,False,
launch_ranks,1,
target_ranks,1,
m_IsMultiHit,False,
m_AllConditionIds,performer_has_0_count,
m_CanBeRiposted,True,
m_AverageRankIgnored,False,
m_ValidActOutTypes,skill_before,skill_after,skill_additional,
m_Tags,flg_1_death_shadow_of_death,
m_IsTokenViewVisible,False,
m_IsBlockPass,True,
m_IsStallInvalidating,False,
element_end
element_start,flg_1_death_shadow_of_death,ActorDataStats
key_map,health_damage,health_damage_range,
add_stats,3,3,
element_end
element_start,flg_1_death_shadow_of_death,ActorDataEffects
target_effects,stress_damage_3,
performer_effects,count_plus_1,move_backward_1,
element_end
element_start,flg_1_death_soul_reaver,ActorDataSkill
m_IsFriendly,False,
launch_ranks,2,
target_ranks,1,
m_IsMultiHit,False,
m_AllConditionIds,performer_has_1_count,
m_CanBeRiposted,True,
m_AverageRankIgnored,False,
m_ValidActOutTypes,skill_before,skill_after,skill_additional,
m_Tags,flg_1_death_soul_reaver,
m_IsTokenViewVisible,False,
m_IsBlockPass,True,
m_IsStallInvalidating,False,
element_end
element_start,flg_1_death_soul_reaver,ActorDataStats
key_map,health_damage,health_damage_range,
add_stats,4,4,
element_end
element_start,flg_1_death_soul_reaver,ActorDataEffects
target_effects,skill_dot_large_bleed,
performer_effects,count_plus_1,move_backward_1,
element_end
element_start,flg_1_death_waning_crescent,ActorDataSkill
m_IsFriendly,False,
launch_ranks,3,
target_ranks,1,
m_IsMultiHit,False,
m_AllConditionIds,performer_has_2_count,
m_CanBeRiposted,True,
m_AverageRankIgnored,False,
m_ValidActOutTypes,skill_before,skill_after,skill_additional,
m_Tags,flg_1_death_waning_crescent,
m_IsTokenViewVisible,False,
m_IsBlockPass,True,
m_IsStallInvalidating,False,
element_end
element_start,flg_1_death_waning_crescent,ActorDataStats
key_map,health_damage,health_damage_range,
add_stats,3,2,
element_end
element_start,flg_1_death_waning_crescent,ActorDataEffects
target_effects,skill_dot_small_bleed,
performer_effects,count_plus_1,move_backward_1,
element_end
element_start,flg_1_death_trample,ActorDataSkill
m_IsFriendly,False,
launch_ranks,4,
target_ranks,1,
m_IsMultiHit,False,
m_AllConditionIds,performer_has_3_count,
m_CanBeRiposted,True,
m_AverageRankIgnored,False,
m_ValidActOutTypes,skill_before,skill_after,skill_additional,
m_Tags,flg_1_death_trample,
m_IsTokenViewVisible,False,
m_IsBlockPass,True,
m_IsStallInvalidating,False,
element_end
element_start,flg_1_death_trample,ActorDataStats
key_map,health_damage,health_damage_range,
add_stats,8,2,
element_end
element_start,flg_1_death_trample,ActorDataEffects
target_effects,stress_damage_4,
performer_after_target_effects,remove_all_count,
performer_effects,move_forward_3,
element_end
