element_start,assist_combat_courtier_blood_destitute,StoryChoice
m_AnyTags,Assist,
m_DrawTags,assist_destitute_basic,
m_Chance,9999,
m_PlayerStoryChoicePreviewIds,icon_story_courtier_Preview,
m_PlayerStoryChoicePreviewValues,0,
m_PlayerStoryChoicePreviewShowNumbers,False,
all_conditions,party_has_courtier_syringe_equipped,quest_courtier_current_step_collect_resilient_blood,has_no_courtier_blood_human_resilient,current_biome_has_infection_tag_bm,
m_ResultType,DRIVING,
m_ResultLootIds,quest_courtier_assist_destitute,
element_end
element_start,assist_combat_courtier_blood_militia,StoryChoice
m_AnyTags,Assist,
m_DrawTags,assist_militia_basic,
m_Chance,9999,
m_PlayerStoryChoicePreviewIds,icon_story_courtier_Preview,
m_PlayerStoryChoicePreviewValues,0,
m_PlayerStoryChoicePreviewShowNumbers,False,
all_conditions,party_has_courtier_syringe_equipped,quest_courtier_current_step_collect_resilient_blood,current_biome_has_infection_tag_bm,
m_ResultType,DRIVING,
m_ResultLootIds,quest_courtier_assist_militia,
element_end
element_start,assist_combat_courtier_blood_provisions,StoryChoice
m_AnyTags,Assist,
m_DrawTags,assist_provisions_basic,
m_Chance,9999,
m_PlayerStoryChoicePreviewIds,icon_story_courtier_Preview,
m_PlayerStoryChoicePreviewValues,0,
m_PlayerStoryChoicePreviewShowNumbers,False,
all_conditions,party_has_courtier_syringe_equipped,quest_courtier_current_step_collect_resilient_blood,current_biome_has_infection_tag_bm,
m_ResultType,DRIVING,
m_ResultLootIds,quest_courtier_assist_provisions,
element_end
