element_start,formless_bust,ActorDataEffects
actor_effect_triggers,formless_bust,
element_end
element_start,formless_bust,ActorEffectTrigger
m_ActorEffectType,node_before,
m_ActorEffectTriggerTargetType,party,
m_ActorCount,1,
effects,stress_heal_1_in_low_torch,
element_end
element_start,windchimes,ActorDataEffects
actor_effect_triggers,windchimes,
element_end
element_start,windchimes,ActorEffectTrigger
m_ActorEffectType,node_after,
m_ActorEffectTriggerTargetType,party,
m_ActorCount,1,
effects,stress_heal_1,
element_end
element_start,chirurgeons_table,ActorDataEffects
actor_effect_triggers,chirurgeons_table,
element_end
element_start,chirurgeons_table,ActorEffectTrigger
m_ActorEffectType,node_after,
m_ActorEffectTriggerTargetType,party,
m_ActorCount,4,
effects,remove_1_disease_chirurgeons_table,
element_end
element_start,pet_snake,ActorDataEffects
actor_effect_triggers,pet_snake,
element_end
element_start,pet_snake,ActorEffectTrigger
m_ActorEffectType,node_after,
m_ActorEffectTriggerTargetType,party,
m_ActorCount,1,
effects,heal_10pct,
element_end
element_start,resources_1,RunLevel
element_end
element_start,resources_1,ActorDataEffects
node_execute_started_effects,allowance_boost_1,
element_end
element_start,resources_4,RunLevel
element_end
element_start,resources_4,ActorDataEffects
node_execute_started_effects,hoarder_boost_1,
element_end
element_start,resources_5,RunLevel
element_end
element_start,resources_5,ActorDataEffects
node_execute_started_effects,cache_boost_1,
element_end
element_start,resources_6,RunLevel
element_end
element_start,resources_6,ActorDataEffects
node_execute_started_effects,allowance_boost_2,
element_end
element_start,resources_7,RunLevel
element_end
element_start,resources_7,ActorDataEffects
actor_effect_triggers,resources_7,
element_end
element_start,resources_7,ActorEffectTrigger
m_ActorEffectType,node_execute_started,
m_ActorEffectTriggerTargetType,party,
m_ActorCount,4,
effects,hospital_boost_1,hospital_boost_2,
element_end
element_start,resources_8,RunLevel
element_end
element_start,resources_8,ActorDataEffects
node_execute_started_effects,inn_boost_1,
element_end
element_start,resources_11,RunLevel
element_end
element_start,resources_11,ActorDataEffects
node_execute_started_effects,curio_boost_1,
element_end
element_start,resources_12,RunLevel
element_end
element_start,resources_12,ActorDataEffects
node_execute_started_effects,oasis_boost_1,
element_end
element_start,resources_13,RunLevel
element_end
element_start,resources_13,ActorDataEffects
actor_effect_triggers,resources_13,
element_end
element_start,resources_13,ActorEffectTrigger
m_ActorEffectType,node_execute_started,
m_ActorEffectTriggerTargetType,party,
m_ActorCount,4,
effects,watchtower_boost_1,
element_end
element_start,is_hoarder,Condition
m_ConditionType,node,
m_ConditionNumberType,BOOL,
m_ConditionString,Store,
element_end
element_start,is_hospital,Condition
m_ConditionType,node,
m_ConditionNumberType,BOOL,
m_ConditionString,Hospital,
element_end
element_start,is_curio,Condition
m_ConditionType,node,
m_ConditionNumberType,BOOL,
m_ConditionString,StoryCosmic,
element_end
element_start,is_cache,Condition
m_ConditionType,node,
m_ConditionNumberType,BOOL,
m_ConditionString,Cache,
element_end
element_start,is_oasis,Condition
m_ConditionType,node,
m_ConditionNumberType,BOOL,
m_ConditionString,Oasis,
element_end
element_start,is_watchtower,Condition
m_ConditionType,node,
m_ConditionNumberType,BOOL,
m_ConditionString,WatchTower,
element_end
element_start,is_inn,Condition
m_ConditionType,node,
m_ConditionNumberType,BOOL,
m_ConditionString,Inn,
element_end
element_start,allowance_boost_1,Effect
all_conditions,is_inn,current_biome_is_valley,
m_LootIds,relics_valley_boost_1,baubles_valley_boost_1,
element_end
element_start,allowance_boost_2,Effect
all_conditions,is_inn,current_biome_is_valley,
m_LootIds,relics_valley_boost_2,baubles_valley_boost_2,
element_end
element_start,hoarder_boost_1,Effect
all_conditions,is_hoarder,current_biome_not_valley,
m_LootIds,gold_lot,
element_end
element_start,hospital_boost_1,Effect
all_conditions,is_hospital,
m_Chance,1,
m_HealthHealPercent,0.1,
m_CritChance,0,
m_CritMultiplier,0.5,
element_end
element_start,hospital_boost_2,Effect
all_conditions,is_hospital,
m_Chance,1,
m_StressHeal,1,
element_end
element_start,curio_boost_1,Effect
all_conditions,is_curio,
m_LootIds,ALL_COMBAT_ITEMS,
element_end
element_start,cache_boost_1,Effect
all_conditions,is_cache,
m_LootIds,ITEM_DRAW_NO_FOOD_NO_GOLD,
element_end
element_start,oasis_boost_1,Effect
all_conditions,is_oasis,
m_LootIds,spring_water_freebie,
element_end
element_start,watchtower_boost_1,Effect
all_conditions,is_watchtower,
m_Chance,1,
buffs,nextcamp_speed_1,
element_end
element_start,inn_boost_1,Effect
all_conditions,is_inn,
m_LootIds,ALL_REST_ITEMS,
element_end
