element_start,beastmen,Gang
m_QuestId,beastmen,
escalation_torch_level_groups,kingdom_escalation_0,beastmen_escalation_1,beastmen_escalation_2,beastmen_escalation_3,
m_IsReleased,True,
m_BossBiomeType,Tundra,
m_Escalation2KingdomEventId,e_escalation_2,
m_Escalation3KingdomEventId,e_escalation_3,
element_end
element_start,kingdom_gang_is_beastmen,Condition
m_ConditionType,gang,
m_ConditionString,beastmen,
m_ConditionNumberType,BOOL,
element_end
element_start,courtier,Gang
escalation_torch_level_groups,kingdom_escalation_0,kingdom_escalation_0,kingdom_escalation_0,kingdom_escalation_0,
m_BossBiomeType,Coast,
m_Escalation2KingdomEventId,e_escalation_2,
m_Escalation3KingdomEventId,e_escalation_3,
element_end
element_start,kingdom_gang_is_courtier,Condition
m_ConditionType,gang,
m_ConditionString,courtier,
m_ConditionNumberType,BOOL,
element_end
element_start,coven,Gang
escalation_torch_level_groups,kingdom_escalation_0,kingdom_escalation_0,kingdom_escalation_0,kingdom_escalation_0,
m_BossBiomeType,Forest,
m_Escalation2KingdomEventId,e_escalation_2,
m_Escalation3KingdomEventId,e_escalation_3,
element_end
element_start,kingdom_gang_is_coven,Condition
m_ConditionType,gang,
m_ConditionString,coven,
m_ConditionNumberType,BOOL,
element_end
